time,open,high,low,close,tick_volume,spread,real_volume
2021-09-21 11:30:00+00:00,1.17393,1.17427,1.1733500000000001,1.1739600000000001,1730,2,0
2021-09-21 12:00:00+00:00,1.1739600000000001,1.17417,1.17317,1.1733,1644,2,0
2021-09-21 12:30:00+00:00,1.1733,1.1735,1.17279,1.17307,1895,2,0
2021-09-21 13:00:00+00:00,1.17307,1.17312,1.17193,1.1723,1885,2,0
2021-09-21 13:30:00+00:00,1.17233,1.17266,1.17168,1.17243,1708,2,0
2021-09-21 14:00:00+00:00,1.17242,1.1726,1.17148,1.17155,1528,2,0
2021-09-21 14:30:00+00:00,1.17155,1.17249,1.17148,1.17242,1083,2,0
2021-09-21 15:00:00+00:00,1.17241,1.17286,1.17224,1.17269,818,2,0
2021-09-21 15:30:00+00:00,1.1727,1.17292,1.17253,1.17283,716,2,0
2021-09-21 16:00:00+00:00,1.17283,1.17297,1.17237,1.17251,897,2,0
2021-09-21 16:30:00+00:00,1.17252,1.17262,1.17184,1.17261,877,2,0
2021-09-21 17:00:00+00:00,1.17261,1.17309,1.17256,1.17266,879,2,0
2021-09-21 17:30:00+00:00,1.17266,1.17298,1.1724999999999999,1.1726,656,2,0
2021-09-21 18:00:00+00:00,1.17262,1.17296,1.17249,1.17291,535,2,0
2021-09-21 18:30:00+00:00,1.17291,1.17322,1.17287,1.17291,650,2,0
2021-09-21 19:00:00+00:00,1.17291,1.17296,1.17236,1.17252,342,2,0
2021-09-21 19:30:00+00:00,1.17252,1.17271,1.17216,1.17216,309,2,0
2021-09-21 20:00:00+00:00,1.17211,1.17277,1.17211,1.1727,56,14,0
2021-09-21 20:30:00+00:00,1.1727,1.17271,1.17246,1.1724999999999999,50,10,0
2021-09-21 21:00:00+00:00,1.17245,1.17275,1.17241,1.1724999999999999,199,2,0
2021-09-21 21:30:00+00:00,1.1724999999999999,1.17255,1.17242,1.17243,176,2,0
2021-09-21 22:00:00+00:00,1.17243,1.17244,1.17229,1.17233,185,2,0
2021-09-21 22:30:00+00:00,1.17233,1.17238,1.17218,1.17228,217,2,0
2021-09-21 23:00:00+00:00,1.17228,1.17249,1.17218,1.17219,469,2,0
2021-09-21 23:30:00+00:00,1.17219,1.17228,1.1717,1.17195,581,2,0
2021-09-22 00:00:00+00:00,1.17195,1.1729,1.17165,1.17289,1601,2,0
2021-09-22 00:30:00+00:00,1.17289,1.17304,1.17264,1.17278,719,2,0
2021-09-22 01:00:00+00:00,1.17275,1.17281,1.17256,1.17258,385,2,0
2021-09-22 01:30:00+00:00,1.17257,1.17263,1.17238,1.17248,377,2,0
2021-09-22 02:00:00+00:00,1.17248,1.17249,1.17224,1.17231,298,2,0
2021-09-22 02:30:00+00:00,1.17231,1.17231,1.17188,1.17198,332,2,0
2021-09-22 03:00:00+00:00,1.17197,1.17199,1.17167,1.17183,290,2,0
2021-09-22 03:30:00+00:00,1.17185,1.17236,1.17183,1.17217,279,2,0
2021-09-22 04:00:00+00:00,1.17217,1.1726,1.17215,1.17248,392,2,0
2021-09-22 04:30:00+00:00,1.17248,1.1726,1.17214,1.17224,513,2,0
2021-09-22 05:00:00+00:00,1.17222,1.1724999999999999,1.17167,1.17225,926,2,0
