,date,open,high,low,close,tick_volume,spread,real_volume
6662,6/7/2017 16:30,15521,15595,15491,15554,1253,0,0
6663,6/6/2017 22:30,15483,15484,15419,15445,607,0,0
6664,6/6/2017 21:30,15509,15579,15468,15484,1005,0,0
6665,6/6/2017 20:30,15462,15516,15449,15511,797,0,0
6666,6/6/2017 19:30,15443,15479,15438,15460,726,0,0
6667,6/6/2017 18:30,15429,15456,15422,15443,831,0,0
6668,6/6/2017 17:30,15451,15474,15417,15428,844,0,0
6669,6/6/2017 16:30,15413,15478,15380,15454,1143,0,0
6670,6/5/2017 22:30,15383,15393,15371,15387,345,0,0
6671,6/5/2017 21:30,15381,15395,15361,15382,727,0,0
6672,6/5/2017 20:30,15396,15404,15366,15381,717,0,0
6673,6/5/2017 19:30,15391,15415,15372,15398,815,0,0
6674,6/5/2017 18:30,15371,15394,15368,15392,884,0,0
6675,6/5/2017 17:30,15385,15437,15368,15370,915,0,0
6676,6/5/2017 16:30,15434,15439,15346,15384,1112,0,0
6677,6/2/2017 22:30,15504,15543,15497,15532,439,0,0
6678,6/2/2017 21:30,15517,15528,15493,15504,745,0,0
6679,6/2/2017 20:30,15495,15542,15490,15517,847,0,0
6680,6/2/2017 19:30,15452,15504,15447,15493,846,0,0
6681,6/2/2017 18:30,15376,15458,15371,15457,767,0,0
6682,6/2/2017 17:30,15354,15386,15342,15377,879,0,0
6683,6/2/2017 16:30,15336,15357,15290,15351,1097,0,0
6684,6/1/2017 22:30,15281,15309,15270,15308,399,0,0
6685,6/1/2017 21:30,15280,15296,15269,15281,819,0,0
6686,6/1/2017 20:30,15307,15310,15278,15281,804,0,0
6687,6/1/2017 19:30,15300,15314,15288,15309,770,0,0
6688,6/1/2017 18:30,15281,15300,15261,15299,865,0,0
6689,6/1/2017 17:30,15239,15291,15232,15281,961,0,0
6690,6/1/2017 16:30,15300,15331,15220,15239,1207,0,0
6691,5/31/2017 22:30,15285,15290,15254,15283,426,0,0
6692,5/31/2017 21:30,15278,15293,15260,15283,867,0,0
6693,5/31/2017 20:30,15298,15304,15246,15280,908,0,0
6694,5/31/2017 19:30,15312,15324,15292,15299,856,0,0
6695,5/31/2017 18:30,15309,15338,15290,15313,924,0,0
6696,5/31/2017 17:30,15264,15323,15252,15308,1040,0,0
6697,5/31/2017 16:30,15409,15410,15237,15266,1173,0,0
6698,5/30/2017 22:30,15395,15396,15362,15363,353,0,0
6699,5/30/2017 21:30,15404,15408,15386,15393,671,0,0
6700,5/30/2017 20:30,15403,15423,15396,15405,653,0,0
